news_outlet,provenance,query_keywords,creation_date,last_modified,crawl_date,author_person,author_organization,news_keywords,recommendations,title,language,article_length,number_subheaders,forbidden_pattern
cicero,https://www.cicero.de/aussenpolitik/geopolitik-weissrussland-russland-und-deutschland-im-teuflischen-dreieck,['flüchtl'],16.11.2021,16.11.2021,12.01.2022,['Andreas Steininger'],[],"['Belarus', 'Weißrussland', 'Russland', 'Deutschland', 'Alexander Lukaschenko', 'Wladimir Putin', 'Nato', 'Europäische Union', 'Ukraine']",[],"Geopolitik - Weißrussland, Russland und Deutschland: Im teuflischen Dreieck",de,12030,4,False
cicero,https://www.cicero.de/innenpolitik/anschlag-bottrop-einsame-woelfe-einheimischer-terrorismus-rechtsextremismus-praevention,"['flüchtl', 'asyl', 'migrant']",09.01.2019,09.01.2019,26.11.2020,['Ein Gastbeitrag'],[],"['Terrorismus', 'Bottrop', 'Abschiebungen', 'Asylbewerber', 'Horst Seehofer']",[],"Anschlag von Bottrop - Einsame Wölfe, unterschätzte Gefahr",de,8214,3,False
cicero,https://www.cicero.de/innenpolitik/leipzig-oberbuergermeister-burkhard-jung-rechtsextremismus-linksextremismus-gewalt,"['flüchtl', 'asyl', 'migration', 'geflücht']",31.01.2020,31.01.2020,25.11.2020,['Burkhard Jung'],[],"['Leipzig', 'Burkhard Jung', 'SPD', 'Gewalt', 'Linksextremismus', 'Rechtsextremismus']",[],"Leipzigs Oberbürgermeister Burkhard Jung - „Die Beamten trauen sich nicht, ihre Uniformen anzuziehen“",de,13207,0,False
cicero,https://www.cicero.de/innenpolitik/aminata-toure-carsten-linnemann-integration-deutsch-sprache-migration,"['flüchtl', 'asyl', 'migration', 'migrant']",10.08.2019,10.08.2019,26.11.2020,[],['Replik'],"['Carsten Linnemann', 'Integration', 'Parallelgesellschaft', 'Migrationspolitik']",[],Aminata Touré - „Weshalb ich Linnemanns ganzes Interview noch schlimmer finde“,de,9118,7,False
cicero,https://www.cicero.de/innenpolitik/tobias-hans-ministerpraesident-saarland-karrenbauer-cdu-digitalisierung,"['flüchtl', 'migration']",29.08.2019,29.08.2019,25.11.2020,['Alexander Marguier'],[],"['Saarland', 'Tobias Hans', 'Ministerpräsident', 'Digitalisierung', 'CDU']",[],Saarlands Ministerpräsident - Tobias Hans: Merkel hat die CDU „sinnentleert“,de,3703,2,False
cicero,https://www.cicero.de/innenpolitik/30-jahre-wiedervereinigung-deutsche-einheit-bilanz-ddr-brd,"['ausländer', 'einwander']",03.10.2020,03.10.2020,25.11.2020,['Hugo Müller-Vogg'],[],"['Mauerfall', 'Wiedervereinigung', 'Tag der deutschen Einheit', 'DDR', 'BRD']",[],30 Jahre Wiedervereinigung - Einheit mit Mängeln ist besser als Teilung,de,14342,10,False
cicero,https://www.cicero.de/aussenpolitik/zukunft-des-westlichen-verteidigungsbundnisses-nato-eu-sicherheit-russland-migration,['migration'],14.12.2021,14.12.2021,12.01.2022,['Antonia Colibasanu'],[],"['Nato', 'EU', 'Verteidigungspolitik']",[],Zukunft des westlichen Verteidigungsbündnisses - Was jetzt auf dem Spiel steht,de,12699,4,False
cicero,https://www.cicero.de/kultur/verschwoerungstheorien-populismus-victor-orban-donald-trump-holocaust-bevoelkerungsaustausch-world-trade-center,['flüchtl'],27.09.2019,27.09.2019,26.11.2020,['Antje Hildebrandt'],[],"['Verschwörungstheorien', 'Donald Trump', 'Victor Orban', '11. September', 'Holocaust', 'Populismus']",[],Verschwörungstheorien - „Es ist immer fünf vor zwölf“,de,12162,0,False
cicero,https://www.cicero.de/innenpolitik/europawahl-2019-wahlkampf-parteien-volt-eu,['asyl'],23.05.2019,23.05.2019,26.11.2020,['Christine Zinner'],[],"['Europawahl 2019', 'Wahlkampf', 'parteien', 'Volt', 'EU']",[],Europawahl 2019 - Jenseits der Volksparteien,de,5705,7,False
cicero,https://www.cicero.de/wirtschaft/infrastrukturabgabe-maut-csu-pkw-andreas-scheuer-horst-seehofer-alexander-dobrindt,['ausländer'],27.06.2019,27.06.2019,26.11.2020,['Bastian Brauns'],[],"['Pkw-Maut', 'Maut', 'Andreas Scheuer', 'Horst Seehofer', 'Alexander Dobrindt', 'CSU']",[],Gescheiterte CSU - Bayerische Mauthelden,de,7839,5,False
